"id","scientificName","sourceName","fos","ter","aqu","arb","diet_leaves","diet_flowers","diet_seed","diet_fruit","diet_inv","diet_vert","diurnal","nocturnal","crepuscular","wet_warm","wet_cold","dry_warm","dry_cold","bodymass_value","age_at_maturity_min_y","age_at_maturity_max_y","body_size_mm","size_at_maturity_min_mm","size_at_maturity_max_mm","longevity_max_y","litter_size_min_n","litter_size_max_n","reproductive_output_y","offspring_size_min_mm","offspring_size_max_mm","dir","lar","viv"
"ITIS:207324","Allophryne ruthveni","Allophryne ruthveni",NA,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,31,NA,NA,31,NA,NA,NA,300,300,1,NA,NA,0,1,0
"ITIS:662323","Alytes cisternasii","Alytes cisternasii",NA,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,6.1,2,2,50,27,36,6,60,180,4,2.6,3.5,0,1,0
"ITIS:662324","Alytes dickhilleni","Alytes dickhilleni",NA,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,55,NA,NA,NA,40,40,1,NA,NA,0,1,0
"ITIS:662325","Alytes maurus","Alytes maurus",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,1,0
"ITIS:662326","Alytes muletensis","Alytes muletensis",NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,2.31,3,3,40,NA,NA,NA,7,20,1,5.4,7,0,1,0
"ITIS:662327","Alytes obstetricans","Alytes obstetricans",1,1,1,1,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,13.4,2,3,55,35,40.5,7,53,171,4,2.6,5,0,1,0
"ITIS:662328","Discoglossus galganoi","Discoglossus galganoi",1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,NA,21.8,3,5,80,NA,NA,9,300,1500,6,1.5,2,0,1,0
"ITIS:662329","Discoglossus jeanneae","Discoglossus jeanneae",1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,1500,1500,1,NA,NA,0,1,0
"ITIS:773324","Discoglossus montalentii","Discoglossus montalentii",1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,1000,1000,1,1.5,1.5,0,1,0
"ITIS:1103746","Latonia nigriventer","Discoglossus nigriventer",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0
"ITIS:662330","Discoglossus pictus","Discoglossus pictus",1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,22.05,4,4,80,NA,NA,NA,20,1500,1,1,1.5,0,1,0
"ITIS:662331","Discoglossus sardus","Discoglossus sardus",1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,3,3,70,NA,NA,NA,1000,1000,1,1,1.5,0,1,0
"ITIS:773325","Discoglossus scovazzi","Discoglossus scovazzi",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,70,NA,NA,NA,1000,1000,1,NA,NA,0,1,0
"ITIS:773326","Prostherapis dunni","Prostherapis dunni",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,NA,NA,NA,NA,NA,1,NA,NA,0,1,0
"ITIS:773327","Allobates alessandroi","Allobates alessandroi",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
"ITIS:1103682","Allobates algorei","Allobates algorei",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:773328","Allobates bromelicola","Allobates bromelicola",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
"ITIS:773329","Allobates brunneus","Allobates brunneus",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,17,17,1,NA,NA,0,1,0
"ITIS:773330","Allobates caeruleodactylus","Allobates caeruleodactylus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,16.8,NA,NA,NA,NA,NA,1,NA,NA,0,1,0
"ITIS:773331","Allobates caribe","Allobates caribe",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:773332","Allobates cepedai","Allobates cepedai",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
"ITIS:773333","Allobates chalcopis","Allobates chalcopis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,1,NA,NA,0,1,0
"ITIS:773334","Allobates conspicuus","Allobates conspicuus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
"ITIS:773336","Allobates crombiei","Allobates crombiei",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
"ITIS:662097","Allobates femoralis","Allobates femoralis",NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,4.1,0.8,0.8,36,NA,NA,6,8,48,12,1.5,2.1,0,1,0
"ITIS:773337","Allobates fratisenescus","Allobates fratisenescus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
"ITIS:773338","Allobates fuscellus","Allobates fuscellus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
"ITIS:773339","Allobates gasconi","Allobates gasconi",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
"ITIS:773340","Allobates goianus","Allobates goianus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
"ITIS:773341","Allobates granti","Allobates granti",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,4,NA,NA,0,1,0
"ITIS:1103703","Allobates hodli","Allobates hodli",NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:773342","Allobates humilis","Allobates humilis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,NA,NA,NA,NA,NA,1,NA,NA,0,1,0
"ITIS:773343","Allobates insperatus","Allobates insperatus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,27,2,NA,NA,0,1,0
"ITIS:773344","Allobates juanii","Allobates juanii",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,NA,NA,NA,NA,NA,1,NA,NA,0,1,0
"ITIS:773345","Allobates kingsburyi","Allobates kingsburyi",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,24,10,NA,NA,0,1,0
"ITIS:773346","Allobates mandelorum","Allobates mandelorum",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0
"ITIS:773347","Allobates marchesianus","Allobates marchesianus",NA,1,1,1,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,13,27,1,1.5,2,0,1,0
"ITIS:773348","Allobates masniger","Allobates masniger",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
"ITIS:773349","Allobates mcdiarmidi","Allobates mcdiarmidi",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,NA,NA,NA,NA,NA,1,NA,NA,0,1,0
"ITIS:773350","Allobates melanolaemus","Allobates melanolaemus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
"ITIS:773351","Allobates myersi","Allobates myersi",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,0
"ITIS:773352","Allobates nidicola","Allobates nidicola",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,21.4,NA,NA,NA,2,6,NA,2.4,2.4,1,0,0
"ITIS:773353","Allobates niputidea","Allobates niputidea",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,1,NA,NA,0,1,0
"ITIS:773354","Allobates olfersioides","Allobates olfersioides",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,11,11,3,1.5,1.5,0,1,0
"ITIS:773355","Allobates ornatus","Allobates ornatus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
"ITIS:1103781","Allobates paleovarzensis","Allobates paleovarzensis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,22.4,NA,NA,NA,9,47,NA,NA,NA,NA,NA,NA
