"Species","CLIMATE","REALM","TAXA","StudyMethod","ABUNDANCE_TYPE","BIOMASS_TYPE","ObsEventID","rarefyID","STUDY_ID","YEAR","PLOT","cell","Abundance","Biomass"
"ITIS:178344","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1972","39_407478",39,1972,"",407478,43,NA
"ITIS:178344","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1970","39_407478",39,1970,"",407478,26,NA
"ITIS:178344","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1982","39_407478",39,1982,"",407478,1,NA
"ITIS:178344","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1992","39_407478",39,1992,"",407478,1,NA
"ITIS:178359","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1972","39_407478",39,1972,"",407478,1,NA
"ITIS:178359","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1970","39_407478",39,1970,"",407478,1,NA
"ITIS:178359","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1982","39_407478",39,1982,"",407478,2,NA
"ITIS:178359","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1992","39_407478",39,1992,"",407478,1,NA
"ITIS:178166","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1992","39_407478",39,1992,"",407478,0.2,NA
"ITIS:179796","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1972","39_407478",39,1972,"",407478,5,NA
"ITIS:179796","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1970","39_407478",39,1970,"",407478,2,NA
"ITIS:179796","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1982","39_407478",39,1982,"",407478,2,NA
"ITIS:179796","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1992","39_407478",39,1992,"",407478,6,NA
"ITIS:179788","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1972","39_407478",39,1972,"",407478,11,NA
"ITIS:179788","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1970","39_407478",39,1970,"",407478,9,NA
"ITIS:179788","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1982","39_407478",39,1982,"",407478,2,NA
"ITIS:179022","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1972","39_407478",39,1972,"",407478,5,NA
"ITIS:179022","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1970","39_407478",39,1970,"",407478,4,NA
"ITIS:179022","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1982","39_407478",39,1982,"",407478,2,NA
"ITIS:175790","Temperate","Terrestrial","Birds","SL","Density","","39_407478__1992","39_407478",39,1992,"",407478,0.2,NA
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_696011__2005","172_696011",172,2005,"",696011,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693821__2004","172_693821",172,2004,"",693821,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_706963__2000","172_706963",172,2000,"",706963,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_706965__2000","172_706965",172,2000,"",706965,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694547__2005","172_694547",172,2005,"",694547,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694549__2005","172_694549",172,2005,"",694549,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694550__2005","172_694550",172,2005,"",694550,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_679935__2004","172_679935",172,2004,"",679935,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_679207__2004","172_679207",172,2004,"",679207,18,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693810__2003","172_693810",172,2003,"",693810,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693083__2003","172_693083",172,2003,"",693083,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694553__2005","172_694553",172,2005,"",694553,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_713525__2009","172_713525",172,2009,"",713525,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_696002__2001","172_696002",172,2001,"",696002,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695275__2004","172_695275",172,2004,"",695275,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695276__2004","172_695276",172,2004,"",695276,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695280__2004","172_695280",172,2004,"",695280,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694550__2004","172_694550",172,2004,"",694550,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_706960__2000","172_706960",172,2000,"",706960,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_691626__2008","172_691626",172,2008,"",691626,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695993__2001","172_695993",172,2001,"",695993,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695276__2001","172_695276",172,2001,"",695276,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_698178__2002","172_698178",172,2002,"",698178,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694544__2000","172_694544",172,2000,"",694544,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695276__2000","172_695276",172,2000,"",695276,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693815__2000","172_693815",172,2000,"",693815,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693813__2000","172_693813",172,2000,"",693813,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693814__2005","172_693814",172,2005,"",693814,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_714256__2009","172_714256",172,2009,"",714256,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_712797__2009","172_712797",172,2009,"",712797,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695280__2008","172_695280",172,2008,"",695280,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695280__2008","172_695280",172,2008,"",695280,18,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_706230__2000","172_706230",172,2000,"",706230,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_705500__2000","172_705500",172,2000,"",705500,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_704770__2000","172_704770",172,2000,"",704770,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_705500__2000","172_705500",172,2000,"",705500,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694546__2000","172_694546",172,2000,"",694546,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693087__2000","172_693087",172,2000,"",693087,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_691622__2001","172_691622",172,2001,"",691622,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_691622__2001","172_691622",172,2001,"",691622,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692353__2006","172_692353",172,2006,"",692353,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695276__2004","172_695276",172,2004,"",695276,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_696734__2004","172_696734",172,2004,"",696734,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_714258__2009","172_714258",172,2009,"",714258,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_706963__2000","172_706963",172,2000,"",706963,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_704770__2000","172_704770",172,2000,"",704770,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694543__2000","172_694543",172,2000,"",694543,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694545__2000","172_694545",172,2000,"",694545,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693817__2000","172_693817",172,2000,"",693817,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693085__2000","172_693085",172,2000,"",693085,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693817__2000","172_693817",172,2000,"",693817,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_691627__2000","172_691627",172,2000,"",691627,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_691627__2000","172_691627",172,2000,"",691627,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693083__2001","172_693083",172,2001,"",693083,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692356__2002","172_692356",172,2002,"",692356,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692356__2001","172_692356",172,2001,"",692356,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_691623__2001","172_691623",172,2001,"",691623,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_691626__2001","172_691626",172,2001,"",691626,73,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693079__2002","172_693079",172,2002,"",693079,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692350__2002","172_692350",172,2002,"",692350,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692350__2002","172_692350",172,2002,"",692350,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692350__2002","172_692350",172,2002,"",692350,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692350__2002","172_692350",172,2002,"",692350,18,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692355__2000","172_692355",172,2000,"",692355,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692356__2000","172_692356",172,2000,"",692356,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_691626__2001","172_691626",172,2001,"",691626,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694543__2002","172_694543",172,2002,"",694543,18,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694547__2002","172_694547",172,2002,"",694547,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692352__2002","172_692352",172,2002,"",692352,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692352__2002","172_692352",172,2002,"",692352,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692352__2002","172_692352",172,2002,"",692352,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692352__2002","172_692352",172,2002,"",692352,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692356__2002","172_692356",172,2002,"",692356,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_688712__2002","172_688712",172,2002,"",688712,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_696010__2000","172_696010",172,2000,"",696010,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_697453__2000","172_697453",172,2000,"",697453,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694545__2000","172_694545",172,2000,"",694545,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693817__2000","172_693817",172,2000,"",693817,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693817__2000","172_693817",172,2000,"",693817,73,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693817__2000","172_693817",172,2000,"",693817,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693817__2000","172_693817",172,2000,"",693817,88,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693087__2000","172_693087",172,2000,"",693087,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693087__2000","172_693087",172,2000,"",693087,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694550__2004","172_694550",172,2004,"",694550,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695274__2002","172_695274",172,2002,"",695274,18,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694545__2002","172_694545",172,2002,"",694545,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695276__2007","172_695276",172,2007,"",695276,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693817__2001","172_693817",172,2001,"",693817,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692353__2001","172_692353",172,2001,"",692353,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692356__2001","172_692356",172,2001,"",692356,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_691626__2001","172_691626",172,2001,"",691626,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694543__2002","172_694543",172,2002,"",694543,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694545__2002","172_694545",172,2002,"",694545,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693815__2002","172_693815",172,2002,"",693815,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693817__2003","172_693817",172,2003,"",693817,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695280__2003","172_695280",172,2003,"",695280,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_690900__2003","172_690900",172,2003,"",690900,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695272__2004","172_695272",172,2004,"",695272,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_704770__2000","172_704770",172,2000,"",704770,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695273__2004","172_695273",172,2004,"",695273,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_691626__2004","172_691626",172,2004,"",691626,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694547__2005","172_694547",172,2005,"",694547,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694547__2005","172_694547",172,2005,"",694547,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695276__2007","172_695276",172,2007,"",695276,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_713528__2008","172_713528",172,2008,"",713528,18,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_712799__2008","172_712799",172,2008,"",712799,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694544__2008","172_694544",172,2008,"",694544,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694543__2008","172_694543",172,2008,"",694543,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_706962__2009","172_706962",172,2009,"",706962,38,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_691621__2003","172_691621",172,2003,"",691621,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_696010__2004","172_696010",172,2004,"",696010,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_712797__2009","172_712797",172,2009,"",712797,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694553__2005","172_694553",172,2005,"",694553,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_705500__2000","172_705500",172,2000,"",705500,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692358__2000","172_692358",172,2000,"",692358,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_696721__2000","172_696721",172,2000,"",696721,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692356__2001","172_692356",172,2001,"",692356,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695274__2002","172_695274",172,2002,"",695274,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694545__2002","172_694545",172,2002,"",694545,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693817__2002","172_693817",172,2002,"",693817,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692356__2002","172_692356",172,2002,"",692356,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_691630__2002","172_691630",172,2002,"",691630,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_691630__2002","172_691630",172,2002,"",691630,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_690901__2002","172_690901",172,2002,"",690901,18,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_690901__2002","172_690901",172,2002,"",690901,18,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_690901__2002","172_690901",172,2002,"",690901,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695276__2004","172_695276",172,2004,"",695276,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694547__2004","172_694547",172,2004,"",694547,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694547__2004","172_694547",172,2004,"",694547,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_696011__2004","172_696011",172,2004,"",696011,38,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695274__2008","172_695274",172,2008,"",695274,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695276__2005","172_695276",172,2005,"",695276,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694547__2005","172_694547",172,2005,"",694547,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694544__2001","172_694544",172,2001,"",694544,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693817__2001","172_693817",172,2001,"",693817,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694543__2001","172_694543",172,2001,"",694543,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695276__2001","172_695276",172,2001,"",695276,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693815__2001","172_693815",172,2001,"",693815,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_714256__2009","172_714256",172,2009,"",714256,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695271__2001","172_695271",172,2001,"",695271,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_696003__2001","172_696003",172,2001,"",696003,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693082__2001","172_693082",172,2001,"",693082,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694540__2003","172_694540",172,2003,"",694540,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695276__2003","172_695276",172,2003,"",695276,18,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695267__2007","172_695267",172,2007,"",695267,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694553__2005","172_694553",172,2005,"",694553,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694553__2005","172_694553",172,2005,"",694553,38,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694543__2008","172_694543",172,2008,"",694543,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694544__2008","172_694544",172,2008,"",694544,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694553__2008","172_694553",172,2008,"",694553,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_713526__2009","172_713526",172,2009,"",713526,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_713525__2009","172_713525",172,2009,"",713525,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_713526__2009","172_713526",172,2009,"",713526,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_712797__2009","172_712797",172,2009,"",712797,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_712797__2009","172_712797",172,2009,"",712797,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_712798__2009","172_712798",172,2009,"",712798,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694545__2000","172_694545",172,2000,"",694545,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695276__2000","172_695276",172,2000,"",695276,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694545__2000","172_694545",172,2000,"",694545,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693819__2004","172_693819",172,2004,"",693819,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693087__2004","172_693087",172,2004,"",693087,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_696012__2005","172_696012",172,2005,"",696012,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692351__2007","172_692351",172,2007,"",692351,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_707690__2009","172_707690",172,2009,"",707690,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_706961__2009","172_706961",172,2009,"",706961,38,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_706960__2009","172_706960",172,2009,"",706960,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_706961__2009","172_706961",172,2009,"",706961,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_706230__2009","172_706230",172,2009,"",706230,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_706230__2009","172_706230",172,2009,"",706230,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692355__2006","172_692355",172,2006,"",692355,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695274__2000","172_695274",172,2000,"",695274,2,0
