"study_id","country","code"
39,"United States","US"
41,"United States","US"
46,"United Kingdom of Great Britain and Northern Ireland","GB"
47,"Canada","US"
56,"United States","US"
58,"Puerto Rico","DO"
59,"United States","US"
67,"Republic of South Africa","ZA"
69,"United Kingdom of Great Britain and Northern Ireland","GB"
77,"Kingdom of Spain","ES"
91,"Republic of Latvia","LV"
171,"Commonwealth of The Bahamas","BS"
195,"United States","US"
217,"United States","US"
308,"United States","US"
311,"United States","US"
312,"Republic of Kenya","KE"
314,"United States","US"
321,"United States","US"
327,"Republic of Chile","CL"
333,"United States","US"
337,"United States","US"
339,"Kingdom of Sweden","SE"
341,"Federative Republic of Brazil","BR"
348,"Federative Republic of Brazil","BR"
357,"United States","US"
362,"Republic of Kenya","KE"
363,"Kingdom of Sweden","SE"
366,"United States","US"
372,"Japan","JP"
373,"Japan","JP"
374,"Japan","JP"
376,"Japan","JP"
377,"Japan","JP"
382,"United States","US"
403,"Federative Republic of Brazil","BR"
420,"Kingdom of Sweden","SE"
439,"Russian Federation","RU"
440,"Russian Federation","RU"
441,"Russian Federation","RU"
442,"Republic of Kazakhstan","KZ"
443,"Republic of Kazakhstan","KZ"
444,"Russian Federation","RU"
445,"Russian Federation","RU"
446,"Russian Federation","RU"
447,"Russian Federation","RU"
448,"Russian Federation","RU"
449,"Mongolia","MN"
459,"Czechia","CZ"
475,"Kingdom of Norway","NO"
515,"Republic of Panama","PA"
516,"Federative Republic of Brazil","BR"
108,"Namibia",NA
166,"United States","US"
169,"United States","US"
172,"Morocco","MA"
328,"United States","US"
