"id","sourceName","scientificName","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_planto","diet_5cat","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist","nocturnal","bodymass_value"
"ITIS:174375","Struthio camelus","Struthio camelus",10,0,0,0,10,0,0,0,30,50,"PlantSeed",0,0,100,0,0,0,0,0,0,111000
"ITIS:174379","Rhea americana","Rhea americana",20,10,10,0,0,0,20,0,20,20,"Omnivore",0,0,100,0,0,0,0,0,0,23000
"ITIS:553787","Rhea pennata","Rhea pennata",20,0,0,0,10,0,0,0,30,40,"PlantSeed",0,0,100,0,0,0,0,0,0,23900
"ITIS:553788","Casuarius casuarius","Casuarius casuarius",10,0,0,0,10,0,80,0,0,0,"FruiNect",0,0,80,20,0,0,0,0,0,44000
"ITIS:174388","Casuarius bennetti","Casuarius bennetti",10,0,0,0,10,0,80,0,0,0,"FruiNect",0,0,80,20,0,0,0,0,0,34999.99
"ITIS:174390","Casuarius unappendiculatus","Casuarius unappendiculatus",20,0,0,0,10,0,60,0,0,10,"FruiNect",0,0,80,20,0,0,0,0,0,46073.85
"ITIS:174385","Dromaius novaehollandiae","Dromaius novaehollandiae",20,0,0,0,0,0,30,0,30,20,"Omnivore",0,0,20,80,0,0,0,0,0,34093.25
"ITIS:174394","Apteryx australis","Apteryx australis",80,0,0,0,0,0,10,0,0,10,"Invertebrate",0,0,100,0,0,0,0,0,1,2320.51
"ITIS:553789","Apteryx owenii","Apteryx owenii",80,0,0,0,0,0,10,0,0,10,"Invertebrate",0,0,80,20,0,0,0,0,1,1238.29
"ITIS:553790","Apteryx haastii","Apteryx haastii",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,80,20,0,0,0,0,1,2022.68
"ITIS:174404","Tinamus tao","Tinamus tao",10,0,0,0,0,0,40,0,30,20,"Omnivore",0,0,100,0,0,0,0,0,0,1600.1
"ITIS:174403","Tinamus solitarius","Tinamus solitarius",20,0,0,0,0,0,40,0,20,20,"Omnivore",0,0,100,0,0,0,0,0,0,1386.41
