"id","sourceName","scientificName","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_planto","nocturnal","crepuscular","diurnal","bodymass_value"
"ITIS:552522","Tachyglossus aculeatus","Tachyglossus aculeatus",100,0,0,0,0,0,0,0,0,0,1,1,0,3025
"ITIS:709357","Zaglossus attenboroughi","Zaglossus attenboroughi",100,0,0,0,0,0,0,0,0,0,1,0,0,8532.39
"ITIS:709358","Zaglossus bartoni","Zaglossus bartoni",100,0,0,0,0,0,0,0,0,0,1,0,0,7180
"ITIS:552523","Zaglossus bruijni","Zaglossus bruijni",100,0,0,0,0,0,0,0,0,0,1,0,0,10139.5
"ITIS:552524","Ornithorhynchus anatinus","Ornithorhynchus anatinus",80,0,0,20,0,0,0,0,0,0,1,1,1,1484.25
"ITIS:552530","Caluromys philander","Caluromys philander",20,0,0,0,10,0,20,0,10,40,1,1,0,229.25
"ITIS:552528","Caluromys derbianus","Caluromys derbianus",20,0,0,0,10,0,20,0,10,40,1,1,0,297
"ITIS:552529","Caluromys lanatus","Caluromys lanatus",20,0,0,0,10,0,20,0,10,40,1,1,0,325
"ITIS:552531","Caluromysiops irrupta","Caluromysiops irrupta",20,0,0,0,0,0,20,40,0,20,1,0,0,250
"ITIS:552532","Glironia venusta","Glironia venusta",40,0,0,0,20,0,20,0,20,0,1,0,0,114
"ITIS:552533","Chironectes minimus","Chironectes minimus",50,0,0,30,0,0,0,0,0,20,1,0,0,946
"ITIS:552535","Didelphis aurita","Didelphis aurita",20,0,0,0,30,30,0,0,0,20,1,0,0,1163.99
"ITIS:709359","Didelphis imperfecta","Didelphis imperfecta",50,0,0,0,0,0,50,0,0,0,1,0,0,1260.04
"ITIS:552536","Didelphis marsupialis","Didelphis marsupialis",20,0,0,0,30,30,0,0,0,20,1,0,0,1091.16
"ITIS:709360","Didelphis pernigra","Didelphis pernigra",20,0,0,0,30,30,0,0,0,20,1,0,0,1260.04
"ITIS:179921","Didelphis virginiana","Didelphis virginiana",20,0,0,0,30,30,0,0,0,20,1,0,0,2195.48
"ITIS:552534","Didelphis albiventris","Didelphis albiventris",20,0,0,0,30,30,0,0,0,20,1,0,0,904
"ITIS:709362","Gracilinanus formosus","Gracilinanus formosus",50,0,0,0,0,0,30,20,0,0,1,1,0,18.9
"ITIS:552540","Gracilinanus emiliae","Gracilinanus emiliae",50,0,0,0,0,0,30,20,0,0,1,1,0,7.6
"ITIS:552542","Gracilinanus microtarsus","Gracilinanus microtarsus",50,0,0,0,0,0,30,20,0,0,1,1,0,31
"ITIS:552541","Gracilinanus marica","Gracilinanus marica",50,0,0,0,0,0,30,20,0,0,1,1,0,23.8
"ITIS:552539","Gracilinanus dryas","Gracilinanus dryas",50,0,0,0,0,0,30,20,0,0,1,1,0,18
"ITIS:552537","Gracilinanus aceramarcae","Gracilinanus aceramarcae",50,0,0,0,0,0,30,20,0,0,1,1,0,20.5
"ITIS:709361","Gracilinanus agricolai","Gracilinanus agricolai",50,0,0,0,0,0,30,20,0,0,1,1,0,18.9
"ITIS:552538","Gracilinanus agilis","Gracilinanus agilis",50,0,0,0,0,0,30,20,0,0,1,1,0,22
"ITIS:709363","Gracilinanus ignitus","Gracilinanus ignitus",50,0,0,0,0,0,30,20,0,0,1,1,0,18.9
"ITIS:709364","Hyladelphys kalinowskii","Hyladelphys kalinowskii",60,10,0,0,0,10,20,0,0,0,1,0,0,16.75
"ITIS:552543","Lestodelphys halli","Lestodelphys halli",0,100,0,0,0,0,0,0,0,0,1,0,0,76
"ITIS:552544","Lutreolina crassicaudata","Lutreolina crassicaudata",20,40,20,20,0,0,0,0,0,0,1,0,0,537.3
