"STUDY_ID","rarefyID","year","hfp"
67,"67_1561066","1993",7.33333333333333
67,"67_1561066","2009",7.33333333333333
67,"67_1548656","1993",32.3333333333333
67,"67_1548656","2009",33.3333333333333
67,"67_1520916","1993",33.3333333333333
67,"67_1520916","2009",33
67,"67_1525292","1993",29.3333333333333
67,"67_1525292","2009",23.6666666666667
67,"67_1526022","1993",12
67,"67_1526022","2009",13
67,"67_1521645","1993",33.5
67,"67_1521645","2009",33.5
67,"67_1550846","1993",12.5
67,"67_1550846","2009",15
67,"67_1563987","1993",39.6666666666667
67,"67_1563987","2009",39.6666666666667
67,"67_1560335","1993",32
67,"67_1560335","2009",33
67,"67_1520915","1993",38.6666666666667
67,"67_1520915","2009",38.6666666666667
67,"67_1515087","1993",8
67,"67_1515087","2009",9
67,"67_1513632","1993",28
67,"67_1513632","2009",26
67,"67_1514361","1993",13.6666666666667
67,"67_1514361","2009",10
67,"67_1520188","1993",33
67,"67_1520188","2009",32
67,"67_1522376","1993",37
67,"67_1522376","2009",38.25
69,"69_537919","1993",12.6666666666667
69,"69_537919","2009",12.6666666666667
69,"69_55399","1993",10.6666666666667
69,"69_55399","2009",10.3333333333333
69,"69_56860","1993",19
69,"69_56860","2009",16
69,"69_539378","1993",11
69,"69_539378","2009",10
195,"195_465078","1993",9.5
195,"195_465078","2009",9.5
217,"217_310897","1993",9.66666666666667
217,"217_310897","2009",10
217,"217_305066","1993",1
217,"217_305066","2009",2
217,"217_305067","1993",1.5
217,"217_305067","2009",1.5
217,"217_302879","1993",7.66666666666667
217,"217_302879","2009",7.66666666666667
217,"217_334972","1993",0
217,"217_334972","2009",0
217,"217_335702","1993",7
217,"217_335702","2009",0
217,"217_309435","1993",8
217,"217_309435","2009",8
217,"217_308706","1993",2
217,"217_308706","2009",2
217,"217_304337","1993",5.5
217,"217_304337","2009",5.5
217,"217_328424","1993",1
217,"217_328424","2009",2
217,"217_326236","1993",0
217,"217_326236","2009",0
217,"217_310164","1993",2
217,"217_310164","2009",2
217,"217_316013","1993",2
217,"217_316013","2009",3
217,"217_301406","1993",0
217,"217_301406","2009",0
217,"217_302872","1993",0.5
217,"217_302872","2009",1.5
217,"217_293394","1993",4
217,"217_293394","2009",4
217,"217_291206","1993",1
217,"217_291206","2009",1
217,"217_290475","1993",1.33333333333333
217,"217_290475","2009",1.66666666666667
217,"217_323314","1993",1.66666666666667
