"Species","fos","ter","aqu","arb","diet_leaves","diet_flowers","diet_seed","diet_fruit","diet_inv","diet_vert","diurnal","nocturnal","crepuscular","wet_warm","wet_cold","dry_warm","dry_cold","bodymass_value","age_at_maturity_min_y","age_at_maturity_max_y","body_size_mm","size_at_maturity_min_mm","size_at_maturity_max_mm","longevity_max_y","litter_size_min_n","litter_size_max_n","reproductive_output_y","offspring_size_min_mm","offspring_size_max_mm","dir","lar","viv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_nect","diet_planto","diet_5cat","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist"
"ITIS:178344",NA,NA,NA,NA,NA,NA,0,10,90,NA,NA,0,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Invertebrate",0,0,0,80,20,0,0,0
"ITIS:178359",NA,NA,NA,NA,NA,NA,0,10,90,NA,NA,0,NA,NA,NA,NA,NA,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Invertebrate",0,0,33,33,33,0,0,0
"ITIS:178166",NA,NA,NA,NA,NA,NA,10,20,70,NA,NA,0,NA,NA,NA,NA,NA,286.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Invertebrate",0,0,20,30,30,20,0,0
"ITIS:179796",NA,NA,NA,NA,NA,NA,10,40,50,NA,NA,0,NA,NA,NA,NA,NA,31.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Omnivore",0,0,100,0,0,0,0,0
"ITIS:179788",NA,NA,NA,NA,NA,NA,0,40,60,NA,NA,0,NA,NA,NA,NA,NA,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Invertebrate",0,0,50,50,0,0,0,0
"ITIS:179022",NA,NA,NA,NA,NA,NA,10,20,70,NA,NA,0,NA,NA,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Invertebrate",0,0,0,0,50,50,0,0
"ITIS:175790",NA,NA,NA,NA,NA,NA,0,20,10,NA,NA,0,NA,NA,NA,NA,NA,530.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,70,"PlantSeed",0,0,60,40,0,0,0,0
"ITIS:178844",NA,NA,NA,NA,NA,NA,0,20,80,NA,NA,0,NA,NA,NA,NA,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Invertebrate",0,0,0,20,60,20,0,0
"ITIS:178562",NA,NA,NA,NA,NA,NA,0,20,80,NA,NA,0,NA,NA,NA,NA,NA,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Invertebrate",0,0,50,50,0,0,0,0
"ITIS:178309",NA,NA,NA,NA,NA,NA,0,40,60,NA,NA,0,NA,NA,NA,NA,NA,32.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0
